ai_id,move_count,heuristics_empty_cells_count,heuristics_neighbour_difference,highest_tile,heuristics_highest_tile_in_corner,heuristics_monotonous_row,best_move,score,heuristics_combineable_cells_count,coefficient_0_act,coefficient_1_ndh,coefficient_2_ecc,coefficient_3_htic,coefficient_4_morow
20171018_013556,192,0.47,0.27,256,0.0,1,0,2552,0.14,-1,3,-1,3,-1
20171018_013556,193,0.47,0.24,256,0.0,1,3,2552,0.0,-1,3,-1,3,-1
20171018_013556,194,0.47,0.24,256,0.0,1,0,2564,0.0,-1,3,-1,3,-1
20171018_013556,195,0.4,0.15,256,0.0,1,2,2572,0.0,-1,3,-1,3,-1
20171018_013556,196,0.47,0.2,256,0.0,1,0,2576,0.0,-1,3,-1,3,-1
20171018_013556,197,0.47,0.17,256,0.0,1,3,2576,0.0,-1,3,-1,3,-1
20171018_013556,198,0.4,0.2,256,0.0,1,3,2600,0.0,-1,3,-1,3,-1
20171018_013556,199,0.4,0.15,256,0.0,1,3,2604,0.14,-1,3,-1,3,-1
20171018_013556,200,0.47,0.17,256,0.0,1,3,2604,0.0,-1,3,-1,3,-1
20171018_013556,201,0.47,0.22,256,0.0,1,0,2608,0.0,-1,3,-1,3,-1
20171018_013556,202,0.47,0.22,256,0.0,1,3,2620,0.0,-1,3,-1,3,-1
20171018_013556,203,0.47,0.2,256,0.0,1,0,2652,0.14,-1,3,-1,3,-1
20171018_013556,204,0.53,0.22,256,0.0,1,0,2656,0.0,-1,3,-1,3,-1
20171018_013556,205,0.47,0.17,256,0.0,1,0,2664,0.0,-1,3,-1,3,-1
20171018_013556,206,0.53,0.2,256,0.0,1,3,2684,0.0,-1,3,-1,3,-1
20171018_013556,207,0.47,0.17,256,0.0,1,2,2684,0.0,-1,3,-1,3,-1
20171018_013556,208,0.4,0.2,256,0.0,1,3,2696,0.0,-1,3,-1,3,-1
20171018_013556,209,0.33,0.17,256,0.0,1,3,2696,0.0,-1,3,-1,3,-1
20171018_013556,210,0.4,0.2,256,0.0,1,0,2696,0.14,-1,3,-1,3,-1
20171018_013556,211,0.33,0.2,256,0.0,1,2,2696,0.0,-1,3,-1,3,-1
20171018_013556,212,0.4,0.2,256,0.0,1,0,2716,0.14,-1,3,-1,3,-1
20171018_013556,213,0.4,0.22,256,0.0,1,0,2716,0.0,-1,3,-1,3,-1
20171018_013556,214,0.47,0.12,256,0.0,1,3,2728,0.14,-1,3,-1,3,-1
20171018_013556,215,0.47,0.12,256,0.0,1,3,2736,0.0,-1,3,-1,3,-1
20171018_013556,216,0.47,0.1,256,0.0,1,3,2756,0.0,-1,3,-1,3,-1
20171018_013556,217,0.47,0.12,256,0.0,1,3,2788,0.0,-1,3,-1,3,-1
20171018_013556,218,0.53,0.1,256,0.0,1,0,2792,0.14,-1,3,-1,3,-1
20171018_013556,219,0.6,0.12,256,0.0,1,0,2800,0.14,-1,3,-1,3,-1
20171018_013556,220,0.67,0.1,256,0.0,1,0,2872,0.0,-1,3,-1,3,-1
20171018_013556,221,0.6,0.12,256,0.0,1,0,2892,0.0,-1,3,-1,3,-1
20171018_013556,222,0.6,0.1,256,0.0,1,0,2928,0.0,-1,3,-1,3,-1
20171018_013556,223,0.53,0.12,256,0.0,1,0,2928,0.0,-1,3,-1,3,-1
20171018_013556,224,0.6,0.17,256,0.0,1,3,2932,0.0,-1,3,-1,3,-1
20171018_013556,225,0.53,0.2,256,0.0,1,2,2932,0.0,-1,3,-1,3,-1
20171018_013556,226,0.53,0.12,256,0.0,1,0,2944,0.14,-1,3,-1,3,-1
20171018_013556,227,0.53,0.15,256,0.0,1,0,2944,0.0,-1,3,-1,3,-1
20171018_013556,228,0.53,0.22,256,0.0,1,3,2948,0.0,-1,3,-1,3,-1
20171018_013556,229,0.47,0.2,256,0.0,1,3,2956,0.0,-1,3,-1,3,-1
20171018_013556,230,0.47,0.17,256,0.0,1,3,2972,0.14,-1,3,-1,3,-1
20171018_013556,231,0.47,0.29,256,0.0,1,0,2972,0.0,-1,3,-1,3,-1
20171018_013556,232,0.47,0.29,256,0.0,1,0,2976,0.0,-1,3,-1,3,-1
20171018_013556,233,0.4,0.22,256,0.0,1,2,2984,0.0,-1,3,-1,3,-1
20171018_013556,234,0.33,0.15,256,0.0,1,3,2988,0.0,-1,3,-1,3,-1
20171018_013556,235,0.4,0.27,256,0.0,1,0,2988,0.0,-1,3,-1,3,-1
20171018_013556,236,0.33,0.24,256,0.0,1,3,2988,0.0,-1,3,-1,3,-1
20171018_013556,237,0.33,0.27,256,0.0,1,0,3000,0.14,-1,3,-1,3,-1
20171018_013556,238,0.27,0.2,256,0.0,1,2,3000,0.0,-1,3,-1,3,-1
20171018_013556,239,0.33,0.22,256,0.0,1,0,3004,0.0,-1,3,-1,3,-1
20171018_013556,240,0.33,0.22,256,0.0,1,3,3004,0.0,-1,3,-1,3,-1
20171018_013556,241,0.33,0.2,256,0.0,1,0,3024,0.14,-1,3,-1,3,-1
20171018_013556,242,0.33,0.29,256,0.0,1,0,3056,0.0,-1,3,-1,3,-1
20171018_013556,243,0.33,0.22,256,0.0,1,0,3060,0.0,-1,3,-1,3,-1
20171018_013556,244,0.33,0.24,256,0.0,1,2,3068,0.0,-1,3,-1,3,-1
20171018_013556,245,0.33,0.24,256,0.0,1,0,3072,0.14,-1,3,-1,3,-1
20171018_013556,246,0.33,0.24,256,0.0,1,0,3080,0.0,-1,3,-1,3,-1
20171018_013556,247,0.33,0.2,256,0.0,1,2,3084,0.0,-1,3,-1,3,-1
20171018_013556,248,0.4,0.27,256,0.0,1,0,3092,0.0,-1,3,-1,3,-1
20171018_013556,249,0.33,0.24,256,0.0,1,3,3096,0.0,-1,3,-1,3,-1
20171018_013556,250,0.33,0.22,256,0.0,1,0,3120,0.0,-1,3,-1,3,-1
20171018_013556,251,0.33,0.2,256,0.0,1,2,3120,0.0,-1,3,-1,3,-1
20171018_013556,252,0.4,0.22,256,0.0,1,0,3124,0.0,-1,3,-1,3,-1
20171018_013556,253,0.4,0.17,256,0.0,1,3,3132,0.14,-1,3,-1,3,-1
20171018_013556,254,0.4,0.15,256,0.0,1,0,3152,0.0,-1,3,-1,3,-1
20171018_013556,255,0.47,0.15,256,0.0,1,2,3184,0.0,-1,3,-1,3,-1
20171018_013556,256,0.53,0.32,256,0.0,1,0,3188,0.0,-1,3,-1,3,-1
20171018_013556,257,0.47,0.24,256,0.0,1,3,3260,0.0,-1,3,-1,3,-1
20171018_013556,258,0.4,0.27,256,0.0,1,2,3280,0.0,-1,3,-1,3,-1
20171018_013556,259,0.4,0.2,256,0.0,1,0,3280,0.0,-1,3,-1,3,-1
20171018_013556,260,0.4,0.24,256,0.0,1,0,3280,0.0,-1,3,-1,3,-1
20171018_013556,261,0.4,0.32,256,0.0,1,3,3284,0.0,-1,3,-1,3,-1
